Año;Mes;Adultos Nacionales;Niños Nacionales;Adultos Extranjeros;Niños Extranjeros
2010;Enero;11705;5434;1851;71
2010;Febrero;9854;6873;1188;26
2010;Marzo;12449;10342;1287;56
2010;Abril;13496;9095;983;22
2010;Mayo;10323;7702;790;29
2010;Junio;8614;5060;991;34
2010;Julio;15483;12612;1226;195
2010;Agosto;15486;9310;976;197
2010;Septiembre;7347;4000;550;66
2010;Octubre;8827;7173;659;66
2010;Noviembre;6248;8394;802;34
2010;Diciembre;6978;6113;1057;110
2011;Enero;11464;5793;832;101
2011;Febrero;7482;6170;821;76
2011;Marzo;10876;11468;804;125
2011;Abril;10771;9947;657;110
2011;Mayo;9939;8437;553;106
2011;Junio;8222;5688;884;120
2011;Julio;13133;10046;1352;231
2011;Agosto;10003;5682;819;110
2011;Septiembre;6618;3211;629;59
2011;Octubre;7533;5265;588;46
2011;Noviembre;7112;7697;697;61
2011;Diciembre;5992;5347;888;86
2012;Enero;9224;3974;1187;108
2012;Febrero;7632;6698;1030;111
2012;Marzo;10193;12027;806;47
2012;Abril;9786;7141;919;88
2012;Mayo;7136;6654;542;62
2012;Junio;9645;6277;706;77
2012;Julio;13487;9877;1163;174
2012;Agosto;8282;4806;838;159
2012;Septiembre;7495;3628;939;69
2012;Octubre;5226;3406;963;57
2012;Noviembre;8653;8427;1400;76
2012;Diciembre;6480;4052;1187;119
2013;Enero;8333;3813;1605;156
2013;Febrero;6282;5100;1253;136
2013;Marzo;9590;8601;1300;92
2013;Abril;9950;8392;1056;66
2013;Mayo;9763;10125;1036;48
2013;Junio;8356;5658;1047;158
2013;Julio;11203;8435;1444;208
2013;Agosto;9395;5618;1223;180
2013;Septiembre;6747;3728;780;44
2013;Octubre;6188;3813;938;86
2013;Noviembre;8571;8714;1310;73
2013;Diciembre;6872;5537;1455;157
2014;Enero;7956;4167;1637;149
2014;Febrero;7142;7042;1087;103
2014;Marzo;12146;11282;1100;77
2014;Abril;10636;9593;1029;93
2014;Mayo;11395;10746;855;77
2014;Junio;9368;6461;1005;98
2014;Julio;12506;9207;1514;300
2014;Agosto;9136;5183;1152;174
2014;Septiembre;5431;2542;1072;71
2014;Octubre;7724;5577;1291;71
2014;Noviembre;11188;11113;1445;99
2014;Diciembre;6789;4879;1602;138
2015;Enero;10171;4773;1574;221
2015;Febrero;7949;6830;1243;139
2015;Marzo;15302;14099;1411;154
2015;Abril;13116;11696;1290;120
2015;Mayo;15605;17433;834;72
2015;Junio;10564;7326;1017;136
2015;Julio;15248;11197;1262;223
2015;Agosto;11456;6686;935;161
2015;Septiembre;7529;3773;937;105
2015;Octubre;8462;5220;974;112
2015;Noviembre;11024;11164;1081;80
2015;Diciembre;8668;6008;1112;185
2016;Enero;12847;5997;1541;164
2016;Febrero;8857;8043;1052;138
2016;Marzo;12454;12947;1177;129
2016;Abril;17672;15798;674;63
2016;Mayo;13273;12109;582;55
2016;Junio;11795;8643;1095;117
2016;Julio;19664;14310;1396;216
2016;Agosto;12234;6788;1362;222
2016;Septiembre;8589;4334;947;65
2016;Octubre;7361;4547;857;78
2016;Noviembre;9005;8335;857;64
2016;Diciembre;7479;5877;1195;160
2017;Enero;11658;5320;1250;120
2017;Febrero;8825;7138;1116;116
2017;Marzo;15393;14548;1052;57
2017;Abril;11830;8380;1919;351
2017;Mayo;11726;10469;843;70
2017;Junio;11609;9640;967;125
2017;Julio;17078;13395;1242;209
2017;Agosto;13237;7898;986;164
2017;Septiembre;4563;2115;383;42
2017;Octubre;8557;5743;713;84
2017;Noviembre;11314;8969;709;60
2017;Diciembre;9969;7158;804;89
2018;Enero;9430;4381;1171;145
2018;Febrero;9955;8542;808;89
2018;Marzo;15680;13139;898;81
2018;Abril;19901;17899;734;58
2018;Mayo;16118;15736;661;52
2018;Junio;11907;10225;932;132
2018;Julio;17356;12721;1048;207
2018;Agosto;12900;7669;910;177
2018;Septiembre;7953;7953;568;44
2018;Octubre;8650;6807;679;80
2018;Noviembre;13728;12557;812;69
2018;Diciembre;10022;7741;883;88
2019;Enero;11893;5622;1062;124
2019;Febrero;12431;7981;659;85
2019;Marzo;18077;15317;922;95
2019;Abril;16333;11630;880;87
2019;Mayo;15772;14705;545;56
2019;Junio;15235;10058;701;155
